timestamp,src_ip,dst_ip,dst_port,protocol,flags,bytes
2025-05-12T09:00:48,198.51.100.25,10.0.0.5,80,tcp,FA,9198
2025-05-12T09:00:51,198.51.100.26,10.0.0.5,443,tcp,FA,5919
2025-05-12T09:00:54,198.51.100.31,10.0.0.5,80,tcp,ACK,5523
2025-05-12T09:00:57,198.51.100.23,10.0.0.5,443,tcp,FA,3655
2025-05-12T09:01:00,198.51.100.21,10.0.0.5,443,tcp,FA,11807
2025-05-12T09:01:02,198.51.100.23,10.0.0.5,443,tcp,FA,8433
2025-05-12T09:01:05,198.51.100.31,10.0.0.5,53,tcp,FA,10277
2025-05-12T09:01:08,198.51.100.21,10.0.0.5,8443,tcp,PA,5353
2025-05-12T09:01:10,198.51.100.25,10.0.0.5,443,tcp,ACK,731
2025-05-12T09:01:15,198.51.100.22,10.0.0.5,443,tcp,PA,1393
2025-05-12T09:01:20,198.51.100.24,10.0.0.5,443,tcp,PA,10950
2025-05-12T09:01:24,198.51.100.21,10.0.0.5,8443,tcp,PA,9905
2025-05-12T09:01:27,198.51.100.27,10.0.0.5,80,tcp,ACK,6082
2025-05-12T09:01:29,198.51.100.20,10.0.0.5,443,tcp,ACK,2369
2025-05-12T09:01:30,198.51.100.26,10.0.0.5,80,tcp,PA,9953
2025-05-12T09:01:31,198.51.100.22,10.0.0.5,443,tcp,FA,5478
2025-05-12T09:01:32,198.51.100.23,10.0.0.5,443,tcp,FA,7318
2025-05-12T09:01:37,198.51.100.29,10.0.0.5,8443,tcp,FA,4197
2025-05-12T09:01:42,198.51.100.26,10.0.0.5,80,tcp,ACK,5371
2025-05-12T09:01:47,198.51.100.26,10.0.0.5,443,tcp,FA,10674
2025-05-12T09:01:48,198.51.100.29,10.0.0.5,443,tcp,PA,3904
2025-05-12T09:01:50,198.51.100.24,10.0.0.5,443,tcp,PA,3073
2025-05-12T09:01:52,198.51.100.22,10.0.0.5,53,tcp,PA,3064
2025-05-12T09:01:53,198.51.100.26,10.0.0.5,80,tcp,FA,10229
2025-05-12T09:01:57,198.51.100.24,10.0.0.5,443,tcp,PA,5220
2025-05-12T09:02:00,198.51.100.31,10.0.0.5,8443,tcp,ACK,1666
2025-05-12T09:02:02,198.51.100.34,10.0.0.5,443,tcp,FA,10163
2025-05-12T09:02:02,198.51.100.50,10.0.0.5,443,tcp,PA,2000
2025-05-12T09:02:04,198.51.100.26,10.0.0.5,443,tcp,FA,4183
2025-05-12T09:02:04,198.51.100.50,10.0.0.5,443,tcp,PA,2000
2025-05-12T09:02:06,198.51.100.34,10.0.0.5,443,tcp,PA,1669
2025-05-12T09:02:06,198.51.100.50,10.0.0.5,443,tcp,PA,2000
2025-05-12T09:02:07,198.51.100.22,10.0.0.5,8443,tcp,ACK,10249
2025-05-12T09:02:08,198.51.100.50,10.0.0.5,443,tcp,PA,2000
2025-05-12T09:02:10,198.51.100.50,10.0.0.5,443,tcp,PA,2000
2025-05-12T09:02:12,198.51.100.34,10.0.0.5,443,tcp,ACK,2537
2025-05-12T09:02:12,198.51.100.50,10.0.0.5,443,tcp,PA,2000
2025-05-12T09:02:14,198.51.100.50,10.0.0.5,443,tcp,PA,2000
2025-05-12T09:02:16,198.51.100.31,10.0.0.5,443,tcp,FA,7094
2025-05-12T09:02:16,198.51.100.50,10.0.0.5,443,tcp,PA,2000
2025-05-12T09:02:18,198.51.100.50,10.0.0.5,443,tcp,PA,2000
2025-05-12T09:02:19,198.51.100.28,10.0.0.5,53,tcp,ACK,7672
2025-05-12T09:02:20,198.51.100.29,10.0.0.5,443,tcp,ACK,5780
2025-05-12T09:02:20,198.51.100.50,10.0.0.5,443,tcp,PA,2000
2025-05-12T09:02:22,198.51.100.50,10.0.0.5,443,tcp,PA,2000
2025-05-12T09:02:24,198.51.100.50,10.0.0.5,443,tcp,PA,2000
2025-05-12T09:02:25,198.51.100.24,10.0.0.5,443,tcp,PA,4250
2025-05-12T09:02:26,198.51.100.50,10.0.0.5,443,tcp,PA,2000
2025-05-12T09:02:28,198.51.100.50,10.0.0.5,443,tcp,PA,2000
2025-05-12T09:02:30,198.51.100.29,10.0.0.5,443,tcp,FA,4915
2025-05-12T09:02:30,198.51.100.50,10.0.0.5,443,tcp,PA,2000
2025-05-12T09:02:32,198.51.100.50,10.0.0.5,443,tcp,PA,2000
2025-05-12T09:02:34,198.51.100.50,10.0.0.5,443,tcp,PA,2000
2025-05-12T09:02:35,198.51.100.20,10.0.0.5,8443,tcp,PA,8208
2025-05-12T09:02:36,198.51.100.50,10.0.0.5,443,tcp,PA,2000
2025-05-12T09:02:38,198.51.100.50,10.0.0.5,443,tcp,PA,2000
2025-05-12T09:02:40,198.51.100.30,10.0.0.5,80,tcp,ACK,3473
2025-05-12T09:02:40,198.51.100.50,10.0.0.5,443,tcp,PA,2000
2025-05-12T09:02:42,198.51.100.50,10.0.0.5,443,tcp,PA,2000
2025-05-12T09:02:44,198.51.100.50,10.0.0.5,443,tcp,PA,2000
2025-05-12T09:02:45,198.51.100.26,10.0.0.5,443,tcp,ACK,1994
2025-05-12T09:02:46,198.51.100.50,10.0.0.5,443,tcp,PA,2000
2025-05-12T09:02:48,198.51.100.50,10.0.0.5,443,tcp,PA,2000
2025-05-12T09:02:49,198.51.100.25,10.0.0.5,80,tcp,ACK,5760
2025-05-12T09:02:50,198.51.100.33,10.0.0.5,443,tcp,ACK,7244
2025-05-12T09:02:50,198.51.100.50,10.0.0.5,443,tcp,PA,2000
2025-05-12T09:02:52,198.51.100.50,10.0.0.5,443,tcp,PA,2000
2025-05-12T09:02:54,198.51.100.24,10.0.0.5,443,tcp,ACK,9512
2025-05-12T09:02:54,198.51.100.50,10.0.0.5,443,tcp,PA,2000
2025-05-12T09:02:55,198.51.100.27,10.0.0.5,443,tcp,ACK,4635
2025-05-12T09:02:56,198.51.100.50,10.0.0.5,443,tcp,PA,2000
2025-05-12T09:02:58,198.51.100.21,10.0.0.5,8443,tcp,ACK,8931
2025-05-12T09:02:58,198.51.100.50,10.0.0.5,443,tcp,PA,2000
2025-05-12T09:02:59,198.51.100.30,10.0.0.5,8443,tcp,FA,8069
2025-05-12T09:03:00,198.51.100.50,10.0.0.5,443,tcp,PA,2000
2025-05-12T09:03:03,198.51.100.20,10.0.0.5,443,tcp,FA,6427
2025-05-12T09:03:08,198.51.100.32,10.0.0.5,80,tcp,FA,7742
2025-05-12T09:03:09,198.51.100.23,10.0.0.5,443,tcp,FA,2646
2025-05-12T09:03:12,198.51.100.27,10.0.0.5,443,tcp,ACK,2489
2025-05-12T09:03:13,198.51.100.30,10.0.0.5,53,tcp,PA,3094
2025-05-12T09:03:16,198.51.100.28,10.0.0.5,443,tcp,FA,7184
2025-05-12T09:03:17,198.51.100.23,10.0.0.5,8443,tcp,PA,8060
2025-05-12T09:03:18,198.51.100.30,10.0.0.5,8443,tcp,PA,8665
2025-05-12T09:03:21,198.51.100.28,10.0.0.5,443,tcp,ACK,7307
2025-05-12T09:03:25,198.51.100.27,10.0.0.5,443,tcp,ACK,9531
2025-05-12T09:03:27,198.51.100.26,10.0.0.5,443,tcp,FA,8827
2025-05-12T09:03:29,198.51.100.33,10.0.0.5,443,tcp,ACK,7298
2025-05-12T09:03:32,198.51.100.34,10.0.0.5,8443,tcp,FA,4877
2025-05-12T09:03:33,198.51.100.24,10.0.0.5,443,tcp,ACK,10116
2025-05-12T09:03:38,198.51.100.30,10.0.0.5,80,tcp,PA,7816
2025-05-12T09:03:43,198.51.100.27,10.0.0.5,443,tcp,ACK,9542
2025-05-12T09:03:48,198.51.100.26,10.0.0.5,80,tcp,ACK,3590
2025-05-12T09:03:50,198.51.100.29,10.0.0.5,80,tcp,PA,7230
2025-05-12T09:03:51,198.51.100.25,10.0.0.5,443,tcp,ACK,6746
2025-05-12T09:03:55,198.51.100.30,10.0.0.5,8443,tcp,FA,2992
2025-05-12T09:03:59,198.51.100.20,10.0.0.5,443,tcp,FA,10169
